id,Title,Authors,id_original,Title_original,OBS,Validação Raphael,Justificativa Raphael,Obs Raphael,Validação Guilherme,Justificativa Guilherme,Obs Guilherme,Secundário,Decisão Final,Repetido
1333,"Smart Grid Systems: Addressing Privacy Threats, Security Vulnerabilities, and DemandâSupply Balance (A Review)","Iqra Nazir, Nermish Mushtaq, Waqas Amin",24,"Adversarial machine learning: a review of methods, tools, and critical industry sectors",,,,,,,,,,
1334,Adversarial AI for Cybersecurity to Mitigate AI-Induced Attacks,"Bharti Bisht, Rashmi Verma, Varsha Yadav, Vishesh Aggarwal, Yash Singh, Yash Kaushik",24,"Adversarial machine learning: a review of methods, tools, and critical industry sectors",,,,,,,,,,
1335,Explainable AI for building energy retrofitting under data scarcity,"Panagiota Rempi, Sotiris Pelekis, A. Tzortzis, Evangelos Karakolis, Christos Ntanos, Dimitris Askounis",24,"Adversarial machine learning: a review of methods, tools, and critical industry sectors",,,,,,,,,,
1336,TabAttackBench: A Benchmark for Adversarial Attacks on Tabular Data,"Zhipeng He, Chun Ouyang, Lijie Wen, Cong Liu, Catarina Moreira",24,"Adversarial machine learning: a review of methods, tools, and critical industry sectors",,,,,,,,,,"1306,1316"
1337,A Trustworthy By Design Classification Model for Building Energy Retrofit Decision Support,"Panagiota Rempi, Sotiris Pelekis, A. Tzortzis, Evangelos Spiliotis, Evangelos Karakolis, Christos Ntanos, Dimitris Askounis",24,"Adversarial machine learning: a review of methods, tools, and critical industry sectors",,,,,,,,,,
1338,Explaining to defend: SHAP-based defense mechanism against adversarial attacks in P2P credit risk,"Justus V.D. Straus, Valeri K. Andreev, Tijn Koeleman, Thomas Sepanosian, Marcos R. Machado, Justus V D Straus, Valeri K. Andreev, Marcos R. Machado",24,"Adversarial machine learning: a review of methods, tools, and critical industry sectors",,,,,,,,,,1340
1339,Privacy-Preserving Intrusion Detection in IoT via Federated Learning,"Stefanos Palmos, Andrea Michaelidou, Sotiris Pelekis, Vangelis Lamprou, Christos Ntanos, Dimitris Askounis",24,"Adversarial machine learning: a review of methods, tools, and critical industry sectors",,,,,,,,,,
1340,Explaining to defend: SHAP-based defense mechanism against adversarial attacks in P2P credit risk,Marcos Machado,24,"Adversarial machine learning: a review of methods, tools, and critical industry sectors",,,,,,,,,,1338
1341,-,-,33,Prompt Injection Detection in LLM Integrated Applications,,,,,,,,,,
1342,"Large language models and AI agents in disaster-resilient infrastructure: concepts, applications, pathways, and challenges","Jiawei Cui, Changhai Zhai, Yong Wang, Yuhao Li",35,A semi-centralized key agreement protocol integrated multiple security communication techniques for LLM-based autonomous driving system,,,,,,,,,,
1343,When autonomous driving meets the artificial intelligence: ecosystem and safety governance,"Xiufeng Li, Xin Zhang, Lei Li, Yufei Zhao",35,A semi-centralized key agreement protocol integrated multiple security communication techniques for LLM-based autonomous driving system,,,,,,,,,,
1344,Covert secret-key agreement based on rate-splitting polar code,"Jiajia Wu, Ming Xu",35,A semi-centralized key agreement protocol integrated multiple security communication techniques for LLM-based autonomous driving system,,,,,,,,,,
1345,"ImportSnare: Directed ""Code Manual"" Hijacking in Retrieval-Augmented Code Generation","Kai Ye, Liangcai Su, Chenxiong Qian",38,Security Attacks on LLM-based Code Completion Tools,,,,,,,,,,1357
1346,SoK: Understanding (New) Security Issues Across AI4Code Use Cases,"Qilong Wu, Taoran Li, Tianyang Zhou, Varun Chandrasekaran",38,Security Attacks on LLM-based Code Completion Tools,,,,,,,,,,
1347,"Large Language Models (LLMs) for Source Code Analysis: applications, models and datasets","Hamed Jelodar, Mohammad Meymani, R. Razavi-Far",38,Security Attacks on LLM-based Code Completion Tools,,,,,,,,,,
1348,Breaking the Code: Security Assessment of AI Code Agents Through Systematic Jailbreaking Attacks,"Shoumik Saha, Jianjun Chen, Sam Mayers, Sanjay Krishna Gouda, Zijian Wang, Varun Kumar",38,Security Attacks on LLM-based Code Completion Tools,,,,,,,,,,1596
1349,Robustness Analysis of Watermarking Techniques for LLM-Generated Code,"Di Cao, Shigang Liu, Jun Zhang, Yang Xiang",38,Security Attacks on LLM-based Code Completion Tools,,,,,,,,,,
1350,Peeking Inside the Black Box: Training Data Exposure in Code Language Models,"Angelica Spina, Marco Russodivito, Simone Scalabrino, Rocco Oliveto",38,Security Attacks on LLM-based Code Completion Tools,,,,,,,,,,
1351,Large Language Models for Computer-Aided Design: A Survey,"Licheng Zhang, Bach Le, Naveed Akhtar, Siew-Kei Lam, Tuan Ngo",38,Security Attacks on LLM-based Code Completion Tools,,,,,,,,,,1352
1352,Large Language Models for Computer-Aided Design: A Survey,"Licheng Zhang, Bach Le, Naveed Akhtar, Siew-Kei Lam, Duc Ngo",38,Security Attacks on LLM-based Code Completion Tools,,,,,,,,,,1351
1353,A Survey on Trustworthy LLM Agents: Threats and Countermeasures,"Miao Yu, Fanci Meng, Xinyun Zhou, Shilong Wang, Junyuan Mao, Linsey Pang, Tianlong Chen, Kun Wang, Xinfeng Li, Yongfeng Zhang, Bo An, Qingsong Wen",38,Security Attacks on LLM-based Code Completion Tools,,,,,,,,,,"1364,1474,1506,1866,1874,2147,2151"
1354,"""X of Information''Continuum: A Survey on AI-Driven Multi-dimensional Metrics for Next-Generation Networked Systems","Beining Wu, Jun Huang, Shui Yu",38,Security Attacks on LLM-based Code Completion Tools,,,,,,,,,,
1355,THE RISE OF LARGE LANGUAGE MODELS: A BEGINNERâS SURVEY,"Gustavo de Aquino Mouzinho, Leandro Youiti Silva Okimoto, Leonardo Yuto Suzuki Camelo, NÃ¡dila da Silva de Azevedo, Hendrio BraganÃ§a, Rubens de Andrade Fernandes, Fabricio Ribeiro Seppe, Raimundo ClaÃºdio Souza Gomes, FÃ¡bio de Sousa Cardoso",38,Security Attacks on LLM-based Code Completion Tools,,,,,,,,,,
1356,Protecting Private Code in IDE Autocomplete using Differential Privacy,"Evgeny Grigorenko, David Stanojevi'c, David Ili'c, Egor Bogomolov, K. Cvejoski",38,Security Attacks on LLM-based Code Completion Tools,,,,,,,,,,
1357,ImportSnare: Directed 'Code Manual' Hijacking in Retrieval-Augmented Code Generation,"Kai Ye, Liangcai Su, Chenxiong Qian",38,Security Attacks on LLM-based Code Completion Tools,,,,,,,,,,1345
1358,From Completion to Editing: Unlocking Context-Aware Code Infilling via Search-and-Replace Instruction Tuning,"Jiajun Zhang, Zeyu Cui, Jiaxi Yang, Lei Zhang, Yuheng Jing, Li Yang, Tianyi Bai, Zilei Wang, Qiang Liu, Liang Wang, Binyuan Hui, Junyang Lin",38,Security Attacks on LLM-based Code Completion Tools,,,,,,,,,,1365
1359,"Cryptography-based privacy-preserving large language models: a lifecycle survey of frameworks, methods, and future directions","Jinglong Luo, Yehong Zhang, Zhuo Zhang, Shiyu Liu, Ye Dong, Haoran Li, Yue Yu, Hui Wang, Xun Bo Zhou, Zenglin Xu",38,Security Attacks on LLM-based Code Completion Tools,,,,,,,,,,
1360,"""X of Information"" Continuum: A Survey on AI-Driven Multi-dimensional Metrics for Next-Generation Networked Systems","Beining Wu, Jun Huang, Shui Yu",38,Security Attacks on LLM-based Code Completion Tools,,,,,,,,,,
1361,"ImportSnare: Directed""Code Manual""Hijacking in Retrieval-Augmented Code Generation","Kai Ye, Liangcai Su, Chenxiong Qian",38,Security Attacks on LLM-based Code Completion Tools,,,,,,,,,,
1362,Quantifying Distributional Robustness of Agentic Tool-Selection,"Jehyeok Yeon, Isha Chaudhary, Gagandeep Singh",38,Security Attacks on LLM-based Code Completion Tools,,,,,,,,,,
1363,How Secure is Secure Code Generation? Adversarial Prompts Put LLM Defenses to the Test,"Melissa Tessa, Iyiola E. Olatunji, Aicha War, Jacques Klein, Tegawend'e F. Bissyand'e",38,Security Attacks on LLM-based Code Completion Tools,,,,,,,,,,
1364,A Survey on Trustworthy LLM Agents: Threats and Countermeasures,"Miao Yu, Fanci Meng, Xinyun Zhou, Shilong Wang, Junyuan Mao, Linsey Pang, Tianlong Chen, Kun Wang, Xinfeng Li, Yongfeng Zhang, Bo An, Qingsong Wen",38,Security Attacks on LLM-based Code Completion Tools,,,,,,,,,,"1353,1474,1506,1866,1874,2147,2151"
1365,From Completion to Editing: Unlocking Context-Aware Code Infilling via Search-and-Replace Instruction Tuning,"Jiajun Zhang, Zeyu Cui, Jiaxi Yang, Lei Zhang, Yuheng Jing, Li Yang, Tianyi Bai, Zilei Wang, Qiang Liu, Liang Wang, Binyuan Hui, Junyang Lin",38,Security Attacks on LLM-based Code Completion Tools,,,,,,,,,,1358
1366,A Survey on the Role of LLMs in AI-Based Software Development: Augmentation and Latent Risks,"Md. Bajlur Rashid, Mohammad Shafayet Jamil Hossain, Mohammad Ishtiaque Khan, Sharaban Tahora, Aiasha Siddika, Mahmudul Islam Prakash, Sharmin Yeasmin, Hossain Shahriar",38,Security Attacks on LLM-based Code Completion Tools,,,,,,,,,,
1367,Adaptive DeSeTra: Adaptive Deformable-span Self-attention Transformer for LLM Security,"Konstantinos Giapantzis, Panagiotis Bountakas, Apostolis Zarras, Aristeidis Farao, Vaios Bolgouras, Christos Xenakis",42,Comprehensive Analysis of Machine Learning and Deep Learning models on Prompt Injection Classification using Natural Language Processing techniques,,,,,,,,,,
1368,Large Language Models,Michael R Douglas,42,Comprehensive Analysis of Machine Learning and Deep Learning models on Prompt Injection Classification using Natural Language Processing techniques,,,,,,,,,,"1369,1752,1775"
1369,Large Language Models,Michael R Douglas,42,Comprehensive Analysis of Machine Learning and Deep Learning models on Prompt Injection Classification using Natural Language Processing techniques,,,,,,,,,,"1368,1752,1775"
1370,Comparative Benchmarking of Deep Learning Architectures for Detecting Adversarial Attacks on Large Language Models,"Oleksandr Kushnerov, Ruslan Shevchuk, Serhii Yevseiev, Mikołaj syn Piotra Karpiński",42,Comprehensive Analysis of Machine Learning and Deep Learning models on Prompt Injection Classification using Natural Language Processing techniques,,,,,,,,,,2940
1371,-,-,55,Defending Llms Against Jailbreak Prompts Through Key Information Protection and Selective Compression,,,,,,,,,,
1372,Beyond the Resumé: A Rubric-Aware Automatic Interview System for Information Elicitation,"Harry Stuart, Masahiro Kaneko, Timothy Baldwin",56,Understanding and Defending Against Resume-Based Prompt Injections in HR AI,"Litmaps nao achou, achei no Scholar",,,,,,,,,
1373,Evo-MARL: Co-Evolutionary Multi-Agent Reinforcement Learning for Internalized Safety,"Zhenyu Pan, Yiting Zhang, Yutong Zhang, Jianshu Zhang, Haozheng Luo, Yuwei Han, Dennis Wu, Hong-Yu Chen, Philip S. Yu, Manling Li, Han Liu",59,PeerGuard: Defending Multi-Agent Systems Against Backdoor Attacks Through Mutual Reasoning,,,,,,,,,,"1533,2595,3425"
1374,SoK: Cybersecurity Assessment of Humanoid Ecosystem,"Priyanka Prakash Surve, A. Shabtai, Y. Elovici",59,PeerGuard: Defending Multi-Agent Systems Against Backdoor Attacks Through Mutual Reasoning,,,,,,,,,,
1375,AdvEvo-MARL: Shaping Internalized Safety through Adversarial Co-Evolution in Multi-Agent Reinforcement Learning,"Zhenyu Pan, Yiting Zhang, Zhuo Liu, Y. Tang, Zeliang Zhang, Haozheng Luo, Yuwei Han, Jianshu Zhang, Dennis J. Wu, Hong-Yu Chen, Han Lü, Hui Fang, Manling Li, Chenliang Xu, Philip S. Yu, Han Liu",59,PeerGuard: Defending Multi-Agent Systems Against Backdoor Attacks Through Mutual Reasoning,,,,,,,,,,3437
1376,"A Survey of LLM-Driven AI Agent Communication: Protocols, Security Risks, and Defense Countermeasures","Dezhang Kong, Shi Lin, Zhenhua Xu, Zhebo Wang, Minghao Li, Yufeng Li, Yilun Zhang, Hujin Peng, Zeyang Sha, Yuyuan Li, Changting Lin, Xun Wang, Xuan Liu, Ningyu Zhang, Chao-Jun Chen, Muhammad Khurram Khan, Meng Han",59,PeerGuard: Defending Multi-Agent Systems Against Backdoor Attacks Through Mutual Reasoning,,,,,,,,,,2216
1377,Rethinking Reasoning: A Survey on Reasoning-based Backdoors in LLMs,"Man Hu, Xinyi Wu, Zuofeng Suo, Jinbo Feng, Linghui Meng, Yanhao Jia, A. Luu, Shuai Zhao",59,PeerGuard: Defending Multi-Agent Systems Against Backdoor Attacks Through Mutual Reasoning,,,,,,,,,,1654
